,deployment_id,actual_lat,actual_long
0,d46071,47.04886,-113.23121
1,d46072,47.06821,-113.26897
2,d47100,47.09457,-113.23200
3,d46069,47.07061,-113.24006
4,d66450,47.09565,-113.20647
5,d46074,47.06059,-113.26067
6,d44312,47.06399,-113.25818
7,d66455,47.09335,-113.23933
8,d66441,47.10624,-113.19959
9,d33769,47.06470,-113.24599
10,d33761,47.10530,-113.23927
11,d33751,47.07180,-113.23661
12,d33758,47.10150,-113.22168
13,d33760,47.09970,-113.23070
14,d33759,47.09350,-113.23580
15,d33770,47.07660,-113.26166
16,d33762,47.09540,-113.22334
17,d33752,47.06780,-113.22416
18,d33753,47.06610,-113.23476
19,d33749,47.07590,-113.25140
20,d33766,47.08820,-113.22150
21,d33755,47.06390,-113.25955
22,d33765,47.09310,-113.20876
23,d33756,47.06419,-113.26933
24,d33767,47.05896,-113.23197
25,d33768,47.05163,-113.23579
26,d33757,47.07974,-113.23852
27,d33750,47.06960,-113.25455
28,d33754,47.06950,-113.26437
29,d39052,47.07159,-113.25890
30,d39058,47.05877,-113.26050
31,d39053,47.07059,-113.24866
32,d39063,47.06505,-113.25750
33,d39056,47.06714,-113.26332
34,d39057,47.06325,-113.26340
35,d39050,47.07704,-113.25920
36,d39066,47.09640,-113.22900
37,d39060,47.06672,-113.22690
38,d39062,47.07516,-113.23940
39,d39065,47.09506,-113.21570
40,d39067,47.08356,-113.24007
41,d39064,47.09514,-113.23820
42,d39068,47.08356,-113.24010
43,d33771,47.05810,-113.25021
44,d39055,47.06769,-113.23783
45,d44303,47.09827,-113.21721
46,d44305,47.10631,-113.20892
47,d44307,47.08880,-113.21832
48,d44308,47.09900,-113.23128
49,d44304,47.09472,-113.19833
50,d44309,47.09101,-113.23380
51,d44306,47.07336,-113.26239
52,d44315,47.05474,-113.23136
53,d46064,47.08549,-113.22930
54,d44314,47.05859,-113.23916
55,d46063,47.09181,-113.22171
56,d46061,47.09556,-113.21304
57,d46068,47.10254,-113.23515
58,d46060,47.10629,-113.20364
59,d46066,47.09861,-113.22608
60,d44316,47.08075,-113.23380
61,d46067,47.11211,-113.23313
62,d46062,47.09872,-113.19834
63,d46065,47.07988,-113.24133
64,d44311,47.06828,-113.24529
65,d44313,47.07343,-113.23574
66,d46073,47.07661,-113.26606
67,d44310,47.10471,-113.23648
68,d46070,47.06248,-113.23319
69,d47101,47.10466,-113.20672
70,d47097,47.11178,-113.23762
71,d47111,47.06020,-113.23441
72,d47116,47.08937,-113.23072
73,d47108,47.07034,-113.26808
74,d47112,47.11338,-113.22943
75,d47104,47.08899,-113.20846
76,d47105,47.09271,-113.20021
77,d47119,47.09632,-113.20229
78,d47126,47.06873,-113.25983
79,d47113,47.10552,-113.22826
80,d47103,47.08368,-113.23343
81,d47110,47.06816,-113.23331
82,d47114,47.10294,-113.23841
83,d47099,47.10396,-113.23225
84,d47123,47.05711,-113.23505
85,d47125,47.05623,-113.25514
86,d47124,47.04886,-113.23682
87,d47118,47.10318,-113.21854
88,d47120,47.07563,-113.24532
89,d47109,47.06731,-113.25788
90,d47098,47.11053,-113.22796
91,d47121,47.07139,-113.22657
92,d47115,47.09591,-113.23808
93,d47122,47.06336,-113.22923
94,d47102,47.09826,-113.21261
95,d47106,47.04949,-113.23965
96,d47117,47.10385,-113.20361
97,d47107,47.05625,-113.26056
